Year,Age,mx,qx,lx,Lx,Tx,ex,Country,Sex
1953,65,0.051451635,0.22898251,54779,243791,572657,10.453967,Argentina,M
1953,70,0.08320903,0.34679049,42236,176025,328867,7.7864971,Argentina,M
1953,75,0.13885967,0.51538342,27589,102397,152842,5.5400209,Argentina,M
1953,80,0.2268506,0.72377884,13370,42658,50446,3.7730436,Argentina,M
1953,85,0.47420695,1,3694,7788,7788,2.108784,Argentina,M
1965,0,0.058782935,0.056163143,100000,95544,6175130,61.751293,Argentina,M
1965,1,0.002888046,0.011468841,94384,374811,6079587,64.413528,Argentina,M
1965,5,0.000743901,0.003711911,93302,465554,5704776,61.143635,Argentina,M
1965,10,0.001013665,0.005056026,92955,463647,5239222,56.363056,Argentina,M
1965,15,0.00135706,0.006763274,92485,460924,4775576,51.636265,Argentina,M
1965,20,0.001772714,0.008826019,91860,457352,4314652,46.970169,Argentina,M
1965,25,0.002342906,0.011649029,91049,452698,3857301,42.365265,Argentina,M
1965,30,0.003109541,0.015432535,89989,446608,3404603,37.833954,Argentina,M
1965,35,0.004263484,0.021101503,88600,438510,2957996,33.386227,Argentina,M
1965,40,0.006205766,0.030573472,86730,427285,2519487,29.049866,Argentina,M
1965,45,0.0092247,0.045124475,84079,411285,2092202,24.884033,Argentina,M
1965,50,0.013642426,0.066049546,80285,388694,1680917,20.937107,Argentina,M
1965,55,0.020557795,0.09795595,74982,357280,1292223,17.233919,Argentina,M
1965,60,0.031705741,0.14731868,67637,314269,934944,13.823065,Argentina,M
1965,65,0.049493682,0.22119392,57673,257746,620676,10.762086,Argentina,M
1965,70,0.078935921,0.33181795,44916,188809,362930,8.0802546,Argentina,M
1965,75,0.12951426,0.4891814,30012,113356,174121,5.8017387,Argentina,M
1965,80,0.20947108,0.68738645,15331,50308,60765,3.9636233,Argentina,M
1965,85,0.45831743,1,4793,10457,10457,2.1818938,Argentina,M
1975,0,0.047071047,0.045311999,100000,96263,6323390,63.233891,Argentina,M
1975,1,0.001978096,0.007873703,95469,380009,6227127,65.226814,Argentina,M
1975,5,0.000571314,0.002852088,94718,472843,5847118,61.732437,Argentina,M
1975,10,0.000866886,0.004325432,94447,471255,5374276,56.902569,Argentina,M
1975,15,0.001227297,0.006118462,94039,468812,4903021,52.138474,Argentina,M
1975,20,0.001649308,0.008214028,93464,465473,4434210,47.443436,Argentina,M
1975,25,0.002223427,0.011058126,92696,461017,3968737,42.814835,Argentina,M
1975,30,0.0030071,0.014927767,91671,455068,3507720,38.264507,Argentina,M
1975,35,0.004163741,0.02061272,90302,447043,3052653,33.804966,Argentina,M
1975,40,0.006039161,0.029764399,88441,435885,2605611,29.461723,Argentina,M
1975,45,0.009023389,0.044160597,85809,419947,2169726,25.285772,Argentina,M
1975,50,0.013598612,0.065844126,82019,397133,1749780,21.333876,Argentina,M
1975,55,0.020567108,0.097998239,76619,365072,1352647,17.654335,Argentina,M
1975,60,0.031184521,0.14506549,69110,321489,987575,14.289918,Argentina,M
1975,65,0.047359496,0.21262942,59085,265271,666087,11.273466,Argentina,M
1975,70,0.073390193,0.31199694,46522,197772,400816,8.615736,Argentina,M
1975,75,0.11666909,0.45162016,32007,123897,203044,6.3437629,Argentina,M
1975,80,0.1863113,0.63553715,17552,59873,79147,4.5093079,Argentina,M
1975,85,0.3318879,1,6398,19275,19275,3.0130653,Argentina,M
1985,0,0.031556431,0.030716348,100000,97338,6612842,66.12841,Argentina,M
1985,1,0.001146557,0.004573436,96929,386633,6515504,67.21978,Argentina,M
1985,5,0.000404195,0.00201873,96486,481890,6128872,63.52145,Argentina,M
1985,10,0.000635409,0.003172208,96291,480719,5646982,58.64539,Argentina,M
1985,15,0.00090507,0.00451554,95985,478884,5166264,53.823746,Argentina,M
1985,20,0.001224873,0.006106414,95552,476357,4687380,49.056095,Argentina,M
1985,25,0.001668998,0.008311697,94968,472946,4211023,44.341518,Argentina,M
1985,30,0.002283849,0.011356995,94179,468326,3738078,39.691368,Argentina,M
1985,35,0.003234059,0.016045753,93110,461960,3269752,35.117455,Argentina,M
1985,40,0.004878523,0.024110319,91616,452774,2807793,30.647732,Argentina,M
1985,45,0.007599938,0.037318997,89407,439023,2355019,26.340677,Argentina,M
1985,50,0.011763145,0.057200857,86070,418533,1915996,22.261002,Argentina,M
1985,55,0.018026682,0.086395584,81147,388907,1497464,18.453861,Argentina,M
1985,60,0.027717821,0.12994482,74136,347558,1108558,14.953091,Argentina,M
1985,65,0.042656198,0.1934741,64503,292560,761000,11.798055,Argentina,M
1985,70,0.06701272,0.28864127,52023,224075,468440,9.0045366,Argentina,M
1985,75,0.10891376,0.42802444,37007,145435,244365,6.6032448,Argentina,M
1985,80,0.1792883,0.61899507,21167,73080,98931,4.6738114,Argentina,M
1985,85,0.31196699,1,8065,25852,25852,3.2054672,Argentina,M
1996,0,0.024742261,0.024211861,100000,97857,6767018,67.670181,Argentina,M
1996,1,0.000884666,0.003531105,97579,389482,6669162,68.346413,Argentina,M
1996,5,0.000274528,0.001371604,97235,485805,6279681,64.583008,Argentina,M
1996,10,0.000568798,0.002840112,97101,484843,5793876,59.668617,Argentina,M
1996,15,0.00091323,0.004556163,96826,483067,5309034,54.831161,Argentina,M
1996,20,0.001296137,0.006460589,96384,480426,4825967,50.070225,Argentina,M
1996,25,0.001750931,0.008718019,95762,476803,4345542,45.378902,Argentina,M
1996,30,0.002276771,0.011321987,94927,472053,3868739,40.755131,Argentina,M
1996,35,0.003036682,0.015073552,93852,465864,3396686,36.19207,Argentina,M
1996,40,0.004352622,0.021538114,92437,457407,2930823,31.706171,Argentina,M
1996,45,0.006602541,0.032497741,90447,445176,2473416,27.346863,Argentina,M
1996,50,0.01028475,0.050185014,87507,426995,2028240,23.178093,Argentina,M
1996,55,0.016093655,0.077475786,83116,400122,1601246,19.265369,Argentina,M
1996,60,0.02495544,0.11772621,76676,361715,1201125,15.664968,Argentina,M
1996,65,0.038466778,0.17607829,67650,309658,839410,12.408291,Argentina,M
1996,70,0.060777776,0.2652044,55738,243212,529752,9.5043964,Argentina,M
1996,75,0.098967604,0.3966895,40956,164162,286541,6.9963498,Argentina,M
1996,80,0.1636174,0.5805974,24710,87681,122379,4.952796,Argentina,M
1996,85,0.29865816,1,10364,34699,34699,3.3483098,Argentina,M
2005,0,0.017547702,0.017273288,100000,98437,6956608,69.566078,Argentina,M
2005,1,0.000742333,0.002964054,98273,392392,6858172,69.78717,Argentina,M
2005,5,0.000221016,0.001104407,97982,489610,6465780,65.989876,Argentina,M
2005,10,0.000492648,0.002460329,97874,488788,5976171,61.060349,Argentina,M
2005,15,0.000806661,0.00402551,97633,487219,5487383,56.204536,Argentina,M
2005,20,0.001143804,0.005703361,97240,484866,5000164,51.421192,Argentina,M
2005,25,0.001524536,0.00759489,96685,481662,4515298,46.701237,Argentina,M
2005,30,0.001936192,0.00963618,95951,477534,4033637,42.038742,Argentina,M
2005,35,0.002526942,0.012558547,95026,472266,3556104,37.422482,Argentina,M
2005,40,0.003609452,0.017892266,93833,465134,3083839,32.86536,Argentina,M
2005,45,0.005542072,0.02734662,92154,454720,2618706,28.416742,Argentina,M
2005,50,0.00875549,0.042876482,89634,438944,2163986,24.142593,Argentina,M
2005,55,0.013872604,0.06712804,85791,415131,1725042,20.107641,Argentina,M
2005,60,0.021880995,0.1039463,80032,380192,1309912,16.367466,Argentina,M
2005,65,0.034356318,0.15869626,71713,331249,929720,12.964554,Argentina,M
2005,70,0.05521692,0.24377887,60332,266362,598471,9.9196339,Argentina,M
2005,75,0.09176179,0.3731961,45625,185555,332110,7.2792239,Argentina,M
2005,80,0.15538368,0.55955434,28598,102983,146555,5.1247516,Argentina,M
2005,85,0.28907508,1,12596,43573,43573,3.4593089,Argentina,M
1920,0,0.14465913,0.13187736,100000,91165,4245699,42.456982,Cuba,M
1920,1,0.018420976,0.070256859,86813,331099,4154535,47.856533,Cuba,M
1920,5,0.003167095,0.015698746,80714,400082,3823436,47.370689,Cuba,M
1920,10,0.005567032,0.027468164,79447,391993,3423355,43.090324,Cuba,M
1920,15,0.007983074,0.03916499,77264,379057,3031362,39.233932,Cuba,M
1920,20,0.009931658,0.048502192,74238,362548,2652306,35.727184,Cuba,M
1920,25,0.011575494,0.056313027,70638,343639,2289759,32.415829,Cuba,M
1920,30,0.012242349,0.059464578,66660,323784,1946120,29.19504,Cuba,M
1920,35,0.013040026,0.063221544,62696,303965,1622337,25.87649,Cuba,M
1920,40,0.016202673,0.077980965,58732,282667,1318373,22.44738,Cuba,M
1920,45,0.021843445,0.1037768,54152,257272,1035707,19.125998,Cuba,M
1920,50,0.029007532,0.13559762,48533,226867,778435,16.0396,Cuba,M
1920,55,0.040506862,0.18458919,41952,191172,551569,13.147852,Cuba,M
1920,60,0.059340149,0.25971332,34208,149716,360398,10.535629,Cuba,M
1920,65,0.085507073,0.35473725,25324,105058,210682,8.3196707,Cuba,M
1920,70,0.12118217,0.4693937,16341,63294,105625,6.4640956,Cuba,M
1920,75,0.18038613,0.6216073,8671,29878,42332,4.8824158,Cuba,M
1920,80,0.25143233,0.77193689,3281,10073,12455,3.7961466,Cuba,M
1920,85,0.31414127,1,749,2382,2382,3.1832812,Cuba,M
1925,0,0.18471378,0.16437146,100000,88988,4390018,43.900177,Cuba,M
1925,1,0.021053091,0.079765543,83563,316602,4301031,51.470604,Cuba,M
1925,5,0.002424483,0.012042128,76898,381941,3984430,51.814865,Cuba,M
1925,10,0.003679824,0.018238047,75972,376532,3602489,47.419006,Cuba,M
1925,15,0.005078313,0.025085818,74586,368439,3225957,43.251602,Cuba,M
1925,20,0.00644192,0.0317192,72715,358039,2857519,39.297619,Cuba,M
1925,25,0.007763984,0.038109798,70409,345602,2499480,35.499771,Cuba,M
1925,30,0.008609854,0.042177722,67726,331770,2153878,31.803249,Cuba,M
1925,35,0.00969657,0.047380228,64869,316967,1822109,28.089216,Cuba,M
1925,40,0.012610621,0.061200831,61796,299899,1505142,24.356966,Cuba,M
1925,45,0.01739837,0.083505012,58014,278440,1205243,20.775316,Cuba,M
1925,50,0.02368008,0.1120333,53169,251548,926804,17.431332,Cuba,M
1925,55,0.03385355,0.15654843,47213,218323,675256,14.302576,Cuba,M
1925,60,0.05042541,0.22490841,39822,177612,456933,11.474627,Cuba,M
1925,65,0.072773859,0.30976635,30866,131379,279322,9.049778,Cuba,M
1925,70,0.10663593,0.42453101,21305,84815,147943,6.9443402,Cuba,M
1925,75,0.16608906,0.58679479,12260,43315,63129,5.1492171,Cuba,M
1925,80,0.24762115,0.76470989,5066,15645,19815,3.9113841,Cuba,M
1925,85,0.28583807,1,1192,4170,4170,3.4984846,Cuba,M
1937,0,0.14167942,0.12939644,100000,91331,4957715,49.577145,Cuba,M
1937,1,0.014782466,0.056902476,87061,335124,4866385,55.896671,Cuba,M
1937,5,0.002475569,0.01229415,82107,407757,4531261,55.187664,Cuba,M
1937,10,0.00294468,0.014620077,81097,402640,4123505,50.846588,Cuba,M
1937,15,0.003643563,0.018059889,79912,396093,3720866,46.562424,Cuba,M
1937,20,0.004382518,0.021684511,78469,388258,3324773,42.370983,Cuba,M
1937,25,0.005181218,0.025587905,76767,379119,2936516,38.25251,Cuba,M
1937,30,0.006025031,0.029695753,74803,368681,2557397,34.18874,Cuba,M
1937,35,0.007250203,0.03563102,72581,356699,2188717,30.1555,Cuba,M
1937,40,0.009683692,0.047318731,69995,342026,1832018,26.173607,Cuba,M
1937,45,0.013672858,0.066192202,66683,322821,1489993,22.344484,Cuba,M
1937,50,0.019309355,0.092270724,62269,297556,1167173,18.744057,Cuba,M
1937,55,0.028331822,0.13264006,56524,264624,869617,15.385101,Cuba,M
1937,60,0.043003678,0.19490272,49027,222198,604994,12.340248,Cuba,M
1937,65,0.063992091,0.27736279,39471,171080,382797,9.698226,Cuba,M
1937,70,0.096005462,0.39013508,28524,115909,211717,7.4226685,Cuba,M
1937,75,0.15089343,0.54781353,17396,63153,95809,5.5077648,Cuba,M
1937,80,0.22785889,0.72582835,7866,25057,32656,4.1516027,Cuba,M
1937,85,0.28377056,1,2157,7600,7600,3.5239737,Cuba,M
1948,0,0.088754877,0.083458215,100000,94033,5779180,57.791798,Cuba,M
1948,1,0.007360817,0.028890684,91655,359737,5685148,62.02824,Cuba,M
1948,5,0.001230153,0.006130026,89007,443531,5325412,59.831898,Cuba,M
1948,10,0.00162002,0.008068728,88461,440591,4881881,55.187054,Cuba,M
1948,15,0.002121891,0.0105557,87747,436512,4441291,50.614815,Cuba,M
1948,20,0.002604495,0.012941581,86821,431407,4004780,46.127052,Cuba,M
1948,25,0.003122373,0.015495745,85698,425299,3573373,41.697746,Cuba,M
1948,30,0.00371109,0.018391645,84370,418122,3148075,37.313129,Cuba,M
1948,35,0.004609416,0.022794908,82818,409557,2729954,32.963524,Cuba,M
1948,40,0.006440254,0.031711124,80930,398489,2320398,28.671804,Cuba,M
1948,45,0.009655636,0.047184743,78364,382942,1921909,24.525646,Cuba,M
1948,50,0.014358662,0.069401674,74666,360892,1538967,20.611435,Cuba,M
1948,55,0.021825355,0.10369513,69484,330127,1178075,16.954681,Cuba,M
1948,60,0.034249682,0.15824111,62279,287741,847949,13.615401,Cuba,M
1948,65,0.053019788,0.23517367,52424,232530,560208,10.686172,Cuba,M
1948,70,0.081020392,0.33915386,40095,167839,327679,8.1725588,Cuba,M
1948,75,0.1290746,0.48792592,26497,100162,159840,6.0324607,Cuba,M
1948,80,0.1982732,0.66281825,13569,45358,59678,4.3983393,Cuba,M
1948,85,0.31948701,1,4575,14320,14320,3.1300178,Cuba,M
1961,0,0.055487175,0.053122386,100000,95739,6465888,64.658875,Cuba,M
1961,1,0.003579067,0.01418895,94688,375383,6370150,67.275314,Cuba,M
1961,5,0.000547147,0.002731624,93345,466020,5994767,64.22213,Cuba,M
1961,10,0.000921505,0.004597358,93090,464420,5528747,59.39188,Cuba,M
1961,15,0.001298595,0.006472803,92662,461867,5064328,54.654179,Cuba,M
1961,20,0.001660745,0.008270759,92062,458481,4602461,49.993313,Cuba,M
1961,25,0.00204442,0.010172188,91301,454272,4143980,45.388557,Cuba,M
1961,30,0.002431206,0.012085512,90372,449236,3689709,40.828285,Cuba,M
1961,35,0.003020762,0.014995098,89280,443183,3240473,36.295944,Cuba,M
1961,40,0.004210169,0.020840263,87941,435304,2797290,31.80891,Cuba,M
1961,45,0.006321993,0.031137522,86108,424104,2361986,27.430588,Cuba,M
1961,50,0.009643635,0.047127422,83427,407697,1937883,23.2286,Cuba,M
1961,55,0.015302183,0.073800571,79495,383395,1530186,19.248854,Cuba,M
1961,60,0.025240486,0.11899411,73629,347114,1146792,15.575453,Cuba,M
1961,65,0.040096734,0.18288432,64867,295863,799678,12.327998,Cuba,M
1961,70,0.062792309,0.2728436,53004,230311,503816,9.5052891,Cuba,M
1961,75,0.10193493,0.40616792,38542,153574,273506,7.096292,Cuba,M
1961,80,0.16005006,0.57155627,22888,81734,119932,5.2400532,Cuba,M
1961,85,0.25671545,1,9806,38198,38198,3.8953636,Cuba,M
1975,0,0.032692995,0.031795308,100000,97255,6955142,69.551414,Cuba,M
1975,1,0.001507127,0.006006393,96821,385862,6857888,70.830963,Cuba,M
1975,5,0.000465128,0.002322671,96239,480580,6472026,67.249565,Cuba,M
1975,10,0.000689247,0.003440544,96016,479285,5991446,62.400887,Cuba,M
1975,15,0.000947222,0.004725369,95686,477341,5512162,57.607346,Cuba,M
1975,20,0.001220492,0.006084635,95233,474774,5034822,52.868507,Cuba,M
1975,25,0.001536233,0.007652949,94654,471529,4560048,48.176247,Cuba,M
1975,30,0.001894913,0.00943167,93930,467520,4088520,43.527729,Cuba,M
1975,35,0.002386507,0.01186458,93044,462567,3621000,38.917419,Cuba,M
1975,40,0.003218491,0.015969101,91940,456173,3158434,34.353485,Cuba,M
1975,45,0.004640638,0.022947609,90472,447373,2702261,29.86879,Cuba,M
1975,50,0.007046219,0.034645211,88395,434625,2254889,25.509239,Cuba,M
1975,55,0.011289662,0.054959178,85333,415407,1820264,21.331419,Cuba,M
1975,60,0.018438255,0.08828453,80643,386127,1404857,17.420752,Cuba,M
1975,65,0.029472856,0.13762911,73524,343331,1018730,13.855896,Cuba,M
1975,70,0.048660088,0.21785806,63405,283870,675400,10.652267,Cuba,M
1975,75,0.082965463,0.34356686,49592,205361,391530,7.8951492,Cuba,M
1975,80,0.14020647,0.51908475,32554,120522,186169,5.7188859,Cuba,M
1975,85,0.2384785,1,15656,65647,65647,4.1932502,Cuba,M
1991,0,0.013365947,0.013204103,100000,98790,7138119,71.381187,Cuba,M
1991,1,0.000696879,0.002782888,98680,394063,7039330,71.335213,Cuba,M
1991,5,0.000309064,0.001544007,98405,491608,6645267,67.529785,Cuba,M
1991,10,0.000595366,0.002972584,98254,490565,6153660,62.63073,Cuba,M
1991,15,0.000954671,0.004762444,97961,488686,5663096,57.809708,Cuba,M
1991,20,0.001309267,0.006525829,97495,485946,5174411,53.073898,Cuba,M
1991,25,0.00168734,0.008402672,96859,482338,4688465,48.405449,Cuba,M
1991,30,0.002081835,0.010357427,96045,477835,4206128,43.793598,Cuba,M
1991,35,0.00257821,0.012811774,95050,472326,3728293,39.224724,Cuba,M
1991,40,0.003411867,0.016920779,93832,465349,3255968,34.700039,Cuba,M
1991,45,0.004847202,0.023957305,92245,455917,2790620,30.252546,Cuba,M
1991,50,0.007187401,0.03532761,90035,442538,2334703,25.931288,Cuba,M
1991,55,0.010902032,0.053120278,86854,423195,1892166,21.785711,Cuba,M
1991,60,0.016864959,0.08104445,82240,395203,1468971,17.862036,Cuba,M
1991,65,0.026989464,0.12673791,75575,354886,1073768,14.208024,Cuba,M
1991,70,0.045918535,0.20680214,65997,297227,718882,10.892715,Cuba,M
1991,75,0.081318736,0.33789974,52349,217521,421655,8.0547876,Cuba,M
1991,80,0.14687321,0.53713804,34660,126757,204135,5.8896465,Cuba,M
1991,85,0.20732975,1,16043,77378,77378,4.8232346,Cuba,M
2006,0,0.007258862,0.007209966,100000,99327,7371825,73.718246,Cuba,M
2006,1,0.000491491,0.001963677,99280,396655,7272498,73.253128,Cuba,M
2006,5,0.000211208,0.001055425,99085,495133,6875844,69.394051,Cuba,M
2006,10,0.000355776,0.001777364,98980,494476,6380712,64.464989,Cuba,M
2006,15,0.000525868,0.002626027,98804,493396,5886236,59.575142,Cuba,M
2006,20,0.000734178,0.003664435,98545,491854,5392841,54.725155,Cuba,M
2006,25,0.001008323,0.005029442,98183,489730,4900987,49.916866,Cuba,M
2006,30,0.001364086,0.006798176,97690,486853,4411258,45.156048,Cuba,M
2006,35,0.001889297,0.009403844,97026,482936,3924406,40.44733,Cuba,M
2006,40,0.0027805,0.013810342,96113,477378,3441470,35.806622,Cuba,M
2006,45,0.004245657,0.02101416,94786,469147,2964092,31.271637,Cuba,M
2006,50,0.00657063,0.032343116,92794,456765,2494946,26.887081,Cuba,M
2006,55,0.01019413,0.04975339,89793,438240,2038182,22.698856,Cuba,M
2006,60,0.015907455,0.076612376,85325,410936,1599943,18.7512,Cuba,M
2006,65,0.024827609,0.11715709,78788,371786,1189007,15.091247,Cuba,M
2006,70,0.040462442,0.1844047,69558,317003,817221,11.748889,Cuba,M
2006,75,0.069509991,0.29609591,56731,241659,500219,8.8174372,Cuba,M
2006,80,0.12214686,0.46786401,39933,152957,258560,6.4748549,Cuba,M
2006,85,0.20122254,1,21250,105604,105604,4.9696221,Cuba,M
1942,0,0.38547671,0.30635467,100000,79475,2404655,24.046547,Honduras,M
1942,1,0.060705554,0.20919454,69365,239034,2325181,33.521172,Honduras,M
1942,5,0.011522859,0.055844698,54854,265846,2086147,38.030998,Honduras,M
1942,10,0.011758364,0.057178244,51791,251846,1820302,35.147362,Honduras,M
1942,15,0.013410235,0.06496045,48830,236534,1568456,32.121227,Honduras,M
1942,20,0.015629031,0.075319923,45658,220034,1331923,29.172169,Honduras,M
1942,25,0.018441206,0.088298053,42219,202146,1111890,26.336607,Honduras,M
1942,30,0.021915998,0.10410427,38491,182837,909744,23.63549,Honduras,M
1942,35,0.025639951,0.12076818,34484,162423,726908,21.079844,Honduras,M
1942,40,0.030133763,0.14050719,30320,141372,564485,18.618168,Honduras,M
1942,45,0.035732426,0.16455063,26059,120004,423114,16.236769,Honduras,M
1942,50,0.044182844,0.1997346,21771,98419,303111,13.922675,Honduras,M
1942,55,0.056901962,0.25032434,17423,76646,204692,11.74865,Honduras,M
1942,60,0.074010551,0.3142364,13062,55456,128046,9.8034773,Honduras,M
1942,65,0.095386259,0.38808757,8957,36443,72590,8.1043148,Honduras,M
1942,70,0.12475599,0.48004696,5481,21090,36148,6.5952663,Honduras,M
1942,75,0.16601829,0.58661813,2850,10070,15059,5.2838979,Honduras,M
1942,80,0.21722592,0.70387816,1179,3818,4989,4.2344456,Honduras,M
1942,85,0.29786697,1,349,1172,1172,3.3572035,Honduras,M
1947,0,0.33465695,0.27336338,100000,81685,2820397,28.203966,Honduras,M
1947,1,0.056234311,0.19578344,72664,252984,2738712,37.690254,Honduras,M
1947,5,0.007720054,0.037797816,58438,286113,2485729,42.536663,Honduras,M
1947,10,0.008676114,0.042495694,56229,275408,2199617,39.119228,Honduras,M
1947,15,0.010606501,0.051716045,53840,262513,1924209,35.740017,Honduras,M
1947,20,0.012917267,0.062644273,51055,247598,1661696,32.547356,Honduras,M
1947,25,0.015607279,0.075218886,47857,230643,1414098,29.548763,Honduras,M
1947,30,0.018559953,0.088842377,44257,211848,1183456,26.740692,Honduras,M
1947,35,0.021359419,0.10158936,40325,191793,971609,24.09453,Honduras,M
1947,40,0.024512643,0.1157534,36229,171077,779816,21.525063,Honduras,M
1947,45,0.02849107,0.1333379,32035,149923,608739,19.00247,Honduras,M
1947,50,0.034736827,0.16031863,27764,128135,458817,16.526028,Honduras,M
1947,55,0.044083066,0.19932669,23313,105410,330683,14.184896,Honduras,M
1947,60,0.056003269,0.24683921,18666,82270,225274,12.068942,Honduras,M
1947,65,0.069532484,0.2979424,14059,60239,143004,10.172272,Honduras,M
1947,70,0.088243373,0.36410517,9870,40724,82766,8.3858271,Honduras,M
1947,75,0.11612508,0.44998813,6277,24320,42042,6.6987162,Honduras,M
1947,80,0.15449791,0.55725336,3452,12451,17722,5.1338644,Honduras,M
1947,85,0.28994584,1,1529,5272,5272,3.44892,Honduras,M
1955,0,0.18878767,0.16758963,100000,88772,3959868,39.598679,Honduras,M
1955,1,0.024660449,0.092595249,83242,312555,3871097,46.504665,Honduras,M
1955,5,0.007133263,0.034980126,75534,370401,3558543,47.112225,Honduras,M
1955,10,0.007095807,0.034884945,72892,358353,3188142,43.738396,Honduras,M
1955,15,0.008171486,0.040071562,70349,344977,2829789,40.225376,Honduras,M
1955,20,0.009593906,0.046889871,67530,330048,2484813,36.796024,Honduras,M
1955,25,0.01150825,0.055994686,64363,313166,2154766,33.478355,Honduras,M
1955,30,0.013517598,0.065464184,60759,294249,1841601,30.309938,Honduras,M
1955,35,0.015326705,0.07391464,56782,273835,1547352,27.251019,Honduras,M
1955,40,0.017583661,0.08435832,52585,252276,1273518,24.218517,Honduras,M
1955,45,0.02090284,0.099521525,48149,229243,1021242,21.210236,Honduras,M
1955,50,0.026132587,0.12295163,43357,203990,791999,18.267054,Honduras,M
1955,55,0.034292962,0.15842587,38026,175672,588010,15.463386,Honduras,M
1955,60,0.045810331,0.2063631,32002,144159,412339,12.884911,Honduras,M
1955,65,0.060798328,0.26528266,25398,110819,268180,10.559214,Honduras,M
1955,70,0.082047313,0.34274536,18661,77951,157362,8.4330282,Honduras,M
1955,75,0.11508957,0.44687206,12265,47621,79411,6.4748383,Honduras,M
1955,80,0.16262731,0.57809961,6784,24115,31790,4.6861095,Honduras,M
1955,85,0.37291479,1,2863,7675,7675,2.6815777,Honduras,M
1967,0,0.14025171,0.12820451,100000,91411,4861471,48.614704,Honduras,M
1967,1,0.017383832,0.066475309,87180,333373,4770061,54.715359,Honduras,M
1967,5,0.004022711,0.019893482,81385,402469,4436688,54.515305,Honduras,M
1967,10,0.003870234,0.01917308,79766,395156,4034219,50.576149,Honduras,M
1967,15,0.004438357,0.021957885,78236,387057,3639064,46.513981,Honduras,M
1967,20,0.005248709,0.025917072,76519,377831,3252007,42.499886,Honduras,M
1967,25,0.006402425,0.031527676,74535,367035,2874177,38.561489,Honduras,M
1967,30,0.007698185,0.037792679,72185,354378,2507142,34.732182,Honduras,M
1967,35,0.008928592,0.043706395,69457,339999,2152764,30.994238,Honduras,M
1967,40,0.010606292,0.051715046,66422,323863,1812766,27.291965,Honduras,M
1967,45,0.013319982,0.064536802,62987,305176,1488904,23.638552,Honduras,M
1967,50,0.017731331,0.085037857,58922,282582,1183728,20.089983,Honduras,M
1967,55,0.025336305,0.11941994,53911,254103,901147,16.715527,Honduras,M
1967,60,0.037787963,0.17322944,47473,217627,647045,13.629805,Honduras,M
1967,65,0.055199869,0.2437124,39250,173289,429418,10.940828,Honduras,M
1967,70,0.079782322,0.33480412,29684,124567,256130,8.6286469,Honduras,M
1967,75,0.11801077,0.45563057,19746,76236,131563,6.6629639,Honduras,M
1967,80,0.16927841,0.5947122,10749,37763,55328,5.1473136,Honduras,M
1967,85,0.24801983,1,4357,17565,17565,4.0319357,Honduras,M
