"","Age","Cause","Contribution","Period1","Period2","Sex","Country","Sources","e01","e02","Cause.name","Country.name"
"274",10,3,-0.00155244299784105,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Neoplasms","ARGENTINA"
"295",25,4,0.0062013356491186,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Circulatory","ARGENTINA"
"316",40,5,-0.00840928696554558,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Abnormal","ARGENTINA"
"337",55,6,0.00444234749540677,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Mental","ARGENTINA"
"358",70,7,0.000146156054408931,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Nervous","ARGENTINA"
"379",0,9,0.00215859821519162,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Digestive","ARGENTINA"
"400",10,10,-0.000182591631064606,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Genitourinary","ARGENTINA"
"421",25,11,-0.000116340265148177,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Perinatal","ARGENTINA"
"442",40,12,-0.00369843252007533,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Respiratory","ARGENTINA"
"463",55,13,0.0022967354589788,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"External","ARGENTINA"
"484",70,14,-0.000620085877031573,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Homicide","ARGENTINA"
"505",0,2,0.0101193737764125,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Infectious","ARGENTINA"
"526",10,3,0.000395163418600964,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Neoplasms","ARGENTINA"
"547",25,4,0.00177549251912455,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Circulatory","ARGENTINA"
"568",40,5,-0.000380147996219373,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Abnormal","ARGENTINA"
"589",55,6,0.00130435298231411,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Mental","ARGENTINA"
"610",70,7,0.00117928468381375,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Nervous","ARGENTINA"
"631",0,9,0.00100111408763179,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Digestive","ARGENTINA"
"652",10,10,-4.07902025289462e-05,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Genitourinary","ARGENTINA"
"673",25,11,-0.000258088741864401,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Perinatal","ARGENTINA"
"694",40,12,-0.00533381140975286,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Respiratory","ARGENTINA"
"715",55,13,0.00398459580478329,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"External","ARGENTINA"
"736",70,14,0.000397660127539204,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Homicide","ARGENTINA"
"757",0,2,0.00827605682693973,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Infectious","ARGENTINA"
"778",10,3,0.000910247760593697,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Neoplasms","ARGENTINA"
"799",25,4,0.00156319701760757,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Circulatory","ARGENTINA"
"820",40,5,0.00588532808974204,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Abnormal","ARGENTINA"
"841",55,6,0.00162635868266982,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Mental","ARGENTINA"
"862",70,7,0.000557458863056478,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Nervous","ARGENTINA"
"883",0,9,0.000545452307693434,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Digestive","ARGENTINA"
"904",10,10,6.3397635198223e-05,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Genitourinary","ARGENTINA"
"925",25,11,0.000370900827337984,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Perinatal","ARGENTINA"
"946",40,12,0.00142546535600178,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Respiratory","ARGENTINA"
"967",55,13,0.00438493381552875,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"External","ARGENTINA"
"988",70,14,0.000341977160527022,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Homicide","ARGENTINA"
"1009",0,2,0.01999012459577,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Infectious","ARGENTINA"
"1030",10,3,0.00172043906200616,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Neoplasms","ARGENTINA"
"1051",25,4,0.0169253836874991,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Circulatory","ARGENTINA"
"1072",40,5,-0.00431081419700104,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Abnormal","ARGENTINA"
"1093",55,6,-0.000301308513105062,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Mental","ARGENTINA"
"1114",70,7,-0.00107963733095363,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Nervous","ARGENTINA"
"1135",0,9,0.00194132015431219,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Digestive","ARGENTINA"
"1156",10,10,0.00034851251243885,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Genitourinary","ARGENTINA"
"1177",25,11,0.000182982599654915,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Perinatal","ARGENTINA"
"1198",40,12,-0.00299027040183406,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Respiratory","ARGENTINA"
"1219",55,13,0.00261443407555138,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"External","ARGENTINA"
"1240",70,14,0.000282377248561236,"1990-1995","1995-2000",2,2020,"CEPAL2004",73.2037329215335,73.8777230763153,"Homicide","ARGENTINA"
"1261",0,2,0.0397862770823847,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Infectious","ARGENTINA"
"1282",10,3,-0.000298654951173027,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Neoplasms","ARGENTINA"
"1303",25,4,0.003577432783856,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Circulatory","ARGENTINA"
"1324",40,5,-0.00268275297718784,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Abnormal","ARGENTINA"
"1345",55,6,0.00134926897360633,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Mental","ARGENTINA"
"1366",70,7,-0.000136844824270656,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Nervous","ARGENTINA"
"1387",0,9,0.00173083365243546,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Digestive","ARGENTINA"
"1408",10,10,0.000386290294198907,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Genitourinary","ARGENTINA"
"1429",25,11,-0.000371425157350223,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Perinatal","ARGENTINA"
"1450",40,12,-0.00278586878608334,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Respiratory","ARGENTINA"
"1471",55,13,0.000815319592222912,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"External","ARGENTINA"
"1492",70,14,-0.000446949325272496,"1995-2000","2000-2005",2,2020,"CEPAL2004",73.8777230763153,74.6354726544213,"Homicide","ARGENTINA"
"1513",0,2,0.00649958205564685,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Infectious","ARGENTINA"
"1534",10,3,0.00151362342544857,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Neoplasms","ARGENTINA"
"1555",25,4,0.00217867611468698,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Circulatory","ARGENTINA"
"1576",40,5,0.000160387965486867,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Abnormal","ARGENTINA"
"1597",55,6,0.000227137616130189,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Mental","ARGENTINA"
"1618",70,7,0.0014365140942282,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Nervous","ARGENTINA"
"1639",0,9,0.00016289775683947,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Digestive","ARGENTINA"
"1660",10,10,0.000267601519603065,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Genitourinary","ARGENTINA"
"1681",25,11,-0.000306426669171601,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Perinatal","ARGENTINA"
"1702",40,12,-0.00264718669154653,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Respiratory","ARGENTINA"
"1723",55,13,0.00188624922908699,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"External","ARGENTINA"
"1744",70,14,0.000421535530835829,"2000-2005","2005-2010",2,2020,"CEPAL2004",74.6354726544213,75.2352088345802,"Homicide","ARGENTINA"
"1765",0,2,0.00501309629495685,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Infectious","ARGENTINA"
"1786",10,3,0.000565591099575671,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Neoplasms","ARGENTINA"
"1807",25,4,0.00186218192190017,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Circulatory","ARGENTINA"
"1828",40,5,0.00296066520706499,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Abnormal","ARGENTINA"
"1849",55,6,-2.10831904805932e-07,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Mental","ARGENTINA"
"1870",70,7,0.00163906742650662,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Nervous","ARGENTINA"
"1891",0,9,0.000230792955351476,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Digestive","ARGENTINA"
"1912",10,10,-3.55316443429087e-06,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Genitourinary","ARGENTINA"
"1933",25,11,-9.69045844638818e-06,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Perinatal","ARGENTINA"
"1954",40,12,0.00165032286036128,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Respiratory","ARGENTINA"
"1975",55,13,0.00150515788416257,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"External","ARGENTINA"
"1996",70,14,-0.000129143718253058,"2005-2010","2010-2015",2,2020,"CEPAL2004",75.2352088345802,75.7720369939377,"Homicide","ARGENTINA"
"2018",1,2,0.0303772429832322,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Infectious","BOLIVIA"
"2039",15,3,-0.00503612618028077,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Neoplasms","BOLIVIA"
"2060",30,4,-0.0113572295194642,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Circulatory","BOLIVIA"
"2081",45,5,0.0216018414834824,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Abnormal","BOLIVIA"
"2102",60,6,0.00576105372022303,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Mental","BOLIVIA"
"2123",75,7,-0.000634345900947794,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Nervous","BOLIVIA"
"2144",1,9,-0.00445674402701489,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Digestive","BOLIVIA"
"2165",15,10,-0.0026008181483772,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Genitourinary","BOLIVIA"
"2186",30,11,0,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Perinatal","BOLIVIA"
"2207",45,12,0.00127917187634811,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Respiratory","BOLIVIA"
"2228",60,13,-0.00817132716513002,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"External","BOLIVIA"
"2249",75,14,0,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Homicide","BOLIVIA"
"2270",1,2,0.0405869076955264,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Infectious","BOLIVIA"
"2291",15,3,0.00358064021675065,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Neoplasms","BOLIVIA"
"2312",30,4,-0.0105993454092693,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Circulatory","BOLIVIA"
"2333",45,5,0.0527244113317444,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Abnormal","BOLIVIA"
"2354",60,6,-0.00120340873767219,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Mental","BOLIVIA"
"2375",75,7,-0.000195719385162186,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Nervous","BOLIVIA"
"2396",1,9,-0.0119216357824335,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Digestive","BOLIVIA"
"2417",15,10,-0.0040469285616965,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Genitourinary","BOLIVIA"
"2438",30,11,0,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Perinatal","BOLIVIA"
"2459",45,12,-0.00494253365886469,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Respiratory","BOLIVIA"
"2480",60,13,-0.015322927235672,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"External","BOLIVIA"
"2501",75,14,0,"1995-2000","2000-2005",2,2060,"CEPAL2004",62.9369491380955,64.7186456410229,"Homicide","BOLIVIA"
"2523",5,2,0.001741232334605,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Infectious","BRAZIL"
"2544",20,3,0.000734489873426254,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Neoplasms","BRAZIL"
"2565",35,4,0.0247285808837865,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Circulatory","BRAZIL"
"2586",50,5,0.0259820487933669,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Abnormal","BRAZIL"
"2607",65,6,-0.000740566579708939,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Mental","BRAZIL"
"2628",80,7,0,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Nervous","BRAZIL"
"2649",5,9,5.53990359993951e-05,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Digestive","BRAZIL"
"2670",20,10,0.000541587543248561,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Genitourinary","BRAZIL"
"2691",35,11,0.000137924213179191,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Perinatal","BRAZIL"
"2712",50,12,0.00214354338982996,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Respiratory","BRAZIL"
"2733",65,13,0.000253864799191803,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"External","BRAZIL"
"2754",80,14,0,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Homicide","BRAZIL"
"2775",5,2,0.00216050486379038,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Infectious","BRAZIL"
"2796",20,3,-0.000228153522460234,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Neoplasms","BRAZIL"
"2817",35,4,0.0147986989759817,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Circulatory","BRAZIL"
"2838",50,5,0.0215995190288848,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Abnormal","BRAZIL"
"2859",65,6,-0.00175817844654563,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Mental","BRAZIL"
"2880",80,7,0,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Nervous","BRAZIL"
"2901",5,9,0.000231307112765487,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Digestive","BRAZIL"
"2922",20,10,0.000355846910415375,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Genitourinary","BRAZIL"
"2943",35,11,-4.43694242901904e-05,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Perinatal","BRAZIL"
"2964",50,12,0.00659568190355508,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Respiratory","BRAZIL"
"2985",65,13,0.0017458829886506,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"External","BRAZIL"
"3006",80,14,0,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Homicide","BRAZIL"
"3027",5,2,0.000462500254057201,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Infectious","BRAZIL"
"3048",20,3,0.00128802110481015,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Neoplasms","BRAZIL"
"3069",35,4,0.00680354957778308,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Circulatory","BRAZIL"
"3090",50,5,0.04032010406684,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Abnormal","BRAZIL"
"3111",65,6,-0.00226767229829931,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Mental","BRAZIL"
"3132",80,7,0,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Nervous","BRAZIL"
"3153",5,9,0.000162438428049423,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Digestive","BRAZIL"
"3174",20,10,0.000346590405254663,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Genitourinary","BRAZIL"
"3195",35,11,-0.000127724101648138,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Perinatal","BRAZIL"
"3216",50,12,0.00403775877481316,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Respiratory","BRAZIL"
"3237",65,13,-0.00153511566599747,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"External","BRAZIL"
"3258",80,14,0,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Homicide","BRAZIL"
"3279",5,2,0.00186198887906802,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Infectious","BRAZIL"
"3300",20,3,0.00219474039897214,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Neoplasms","BRAZIL"
"3321",35,4,0.00842266292469081,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Circulatory","BRAZIL"
"3342",50,5,0.0166535021961582,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Abnormal","BRAZIL"
"3363",65,6,-0.000514695002748175,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Mental","BRAZIL"
"3384",80,7,0,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Nervous","BRAZIL"
"3405",5,9,0.000177816499481899,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Digestive","BRAZIL"
"3426",20,10,0.00042406914104516,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Genitourinary","BRAZIL"
"3447",35,11,-0.000149234521713346,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Perinatal","BRAZIL"
"3468",50,12,-0.000661460888729437,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Respiratory","BRAZIL"
"3489",65,13,-0.00198930038392284,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"External","BRAZIL"
"3510",80,14,0,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Homicide","BRAZIL"
"3531",5,2,0.00154665025657373,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Infectious","BRAZIL"
"3552",20,3,-0.00010256241006479,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Neoplasms","BRAZIL"
"3573",35,4,0.0153417938442504,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Circulatory","BRAZIL"
"3594",50,5,0.0197397882321144,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Abnormal","BRAZIL"
"3615",65,6,-0.000330175235583037,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Mental","BRAZIL"
"3636",80,7,0,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Nervous","BRAZIL"
"3657",5,9,0.000442466909231302,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Digestive","BRAZIL"
"3678",20,10,0.000856878608096576,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Genitourinary","BRAZIL"
"3699",35,11,-0.000173763841579842,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Perinatal","BRAZIL"
"3720",50,12,-0.00219956022679592,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Respiratory","BRAZIL"
"3741",65,13,0.00186863630948263,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"External","BRAZIL"
"3762",80,14,0,"1990-1995","1995-2000",2,2070,"CEPAL2004",69.0966725021784,70.4012221371867,"Homicide","BRAZIL"
"3783",5,2,0.00157085441618384,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Infectious","BRAZIL"
"3804",20,3,-0.00180752956098297,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Neoplasms","BRAZIL"
"3825",35,4,0.0122819511442153,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Circulatory","BRAZIL"
"3846",50,5,0.0207793126999917,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Abnormal","BRAZIL"
"3867",65,6,-0.000373564920174424,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Mental","BRAZIL"
"3888",80,7,0,"1995-2000","2000-2005",2,2070,"CEPAL2004",70.4012221371867,71.5032623362857,"Nervous","BRAZIL"
