"","Cause","Period1","Period2","Sex","Country","Sources","Change","Contribution","Prop","Country.name","Cause.name","Change","Contribution","Prop"
"110",13,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.0920184463520372,6.94485403624921,"BRAZIL","External",0.880438629073709,0.0117413268661973,1.33357697839202
"111",14,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.14147109671963,10.6771648078818,"BRAZIL","Homicide",0.880438629073709,0.00555474155920027,0.630906161516822
"112",15,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.00121141612701634,0.0914284962723732,"BRAZIL","Rest",0.880438629073709,0.000986405815814565,0.112035726652787
"113",2,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0985850493063178,10.1468422625556,"BRAZIL","Infectious",0.808960597884351,0.0768769519150044,9.50317631242588
"114",3,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0469625347187356,4.83360748301886,"BRAZIL","Neoplasms",0.808960597884351,0.0364080846825291,4.50060049621032
"115",4,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.228982940363084,23.5680135378447,"BRAZIL","Circulatory",0.808960597884351,0.269496870907694,33.3139675297537
"116",5,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.207047993972329,21.3103645065698,"BRAZIL","Abnormal",0.808960597884351,0.169352571893545,20.9345884504694
"117",6,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.00891748894011387,0.917830383918274,"BRAZIL","Mental",0.808960597884351,-0.000550478881112181,-0.0680476753196424
"118",7,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.00378760518889848,0.389838344404287,"BRAZIL","Nervous",0.808960597884351,0.00138184726113773,0.170817622607532
"119",8,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0198075210230388,2.03868429185995,"BRAZIL","Endocrine",0.808960597884351,0.047153152744847,5.82885654359003
"120",9,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.049156274101958,5.05939757637825,"BRAZIL","Digestive",0.808960597884351,0.0223848744092118,2.76711553909476
"121",10,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,-0.00901824182789354,-0.928200350429329,"BRAZIL","Genitourinary",0.808960597884351,-0.00985910627513811,-1.21873751341194
"122",11,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.133090994144637,13.6983582566997,"BRAZIL","Perinatal",0.808960597884351,0.12989561166021,16.0570999378613
"123",12,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0497930452148895,5.12493708856323,"BRAZIL","Respiratory",0.808960597884351,0.0415679204480254,5.13843573552738
"124",13,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0946159951527698,9.73832832752213,"BRAZIL","External",0.808960597884351,0.0181586615105505,2.24469047788487
"125",14,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.0375616395468448,3.86602263007013,"BRAZIL","Homicide",0.808960597884351,-0.00428172514410494,-0.529287230466205
"126",15,"2005-2010","2010-2015",1,2070,"CEPAL2004",0.971583540527888,0.00229270068215907,0.235975661023795,"BRAZIL","Rest",0.808960597884351,0.0109753607519612,1.35672377377399
"127",2,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,-0.0111120618132751,-1.189544337358,"CHILE","Infectious",0.882405165716776,0.0360136855192878,4.08130946174074
"128",3,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0381831306830994,4.08749768044123,"CHILE","Neoplasms",0.882405165716776,0.0914981931732735,10.3691814971357
"129",4,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.2053477856177,21.9824457130647,"CHILE","Circulatory",0.882405165716776,0.243753454626041,27.6237565345666
"130",5,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0796750193835377,8.52919734691815,"CHILE","Abnormal",0.882405165716776,0.0859278392291236,9.73791208025449
"131",6,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0114535947378085,1.22610537915446,"CHILE","Mental",0.882405165716776,0.016128620748072,1.82780216783644
"132",7,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0162460150546568,1.73913316337142,"CHILE","Nervous",0.882405165716776,0.0117940127028749,1.3365756640029
"133",8,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,-0.00715751229863214,-0.766210480780137,"CHILE","Endocrine",0.882405165716776,-0.0228940888787907,-2.59450984290123
"134",9,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0360679354852057,3.86106639232012,"CHILE","Digestive",0.882405165716776,0.0567808340745911,6.43478033454939
"135",10,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.022816892934889,2.44254452889886,"CHILE","Genitourinary",0.882405165716776,0.0267851575642356,3.03547152769421
"136",11,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.0553999349206068,5.93055366161489,"CHILE","Perinatal",0.882405165716776,0.0720087307479142,8.16050648223729
"137",12,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.112954134585384,12.0917209996707,"CHILE","Respiratory",0.882405165716776,0.080977978347321,9.17696104844794
"138",13,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,0.40047754921064,42.8710538968934,"CHILE","External",0.882405165716776,0.171641426312355,19.4515436877493
"139",14,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,-0.018410019685024,-1.97078949298205,"CHILE","Homicide",0.882405165716776,-0.00435163531526858,-0.49315614689696
"140",15,"1990-1995","1995-2000",1,2120,"CEPAL2004",0.934144400027591,-0.00779799878899714,-0.8347744512269,"CHILE","Rest",0.882405165716776,0.016340956865749,1.85186550358364
"141",2,"1995-2000","2000-2005",1,2120,"CEPAL2004",1.42272499827988,0.0617605862430355,4.34100661179822,"CHILE","Infectious",1.18596211302577,0.0654678469500369,5.52023089363349
"142",3,"1995-2000","2000-2005",1,2120,"CEPAL2004",1.42272499827988,0.124407496953026,8.74431088955625,"CHILE","Neoplasms",1.18596211302577,0.23300745600761,19.6471247646465
"143",4,"1995-2000","2000-2005",1,2120,"CEPAL2004",1.42272499827988,0.211154450420534,14.8415505931102,"CHILE","Circulatory",1.18596211302577,0.224814389620346,18.9562876546514
"144",5,"1995-2000","2000-2005",1,2120,"CEPAL2004",1.42272499827988,0.0577620019127219,4.0599555066902,"CHILE","Abnormal",1.18596211302577,0.067283947296575,5.67336397660396
